CNPA,NOMBRE DEL PRODUCTO,MERCADO,Prom. del sáb 25 al vie 31,Prom. del sáb 1 al vie 7,Var. (%),jul vie-31,ago sáb-1,ago dom-2,ago lun-3,ago mar-4,ago mié-5,ago jue-6,ago vie-7,Var % Hoy/ayer
011,CEREALES,,,,,,,,,,,,,
01122,MAIZ MARLO/CORONTA DE MAIZ,GMML,19.39,19.36,-0.2%,19.50,19.50,19.50,19.00,19.50,19.50,19.50,19.00,-2.6%
01122,MAIZ MORADO,GMML,2.36,2.73,15.8%,2.33,2.33,2.33,2.35,3.10,3.05,3.05,2.88,-5.6%
012,HORTALIZAS,,,,,,,,,,,,,
0121,Hortalizas de hoja o de tallo,,,,,,,,,,,,,
01211,ESPARRAGO FRESCO,GMML,7.25,6.94,-4.2%,7.16,7.16,7.16,7.00,7.00,6.76,6.76,6.76,0.0%
01219,ACELGA (CRIOLLA/SERRANA),GMML,4.43,4.38,-1.2%,4.25,4.25,4.25,4.38,4.50,4.50,4.38,4.38,0.0%
01214,LECHUGA AMERICANA (CRIOLLA/SERRANA),GMML,2.33,2.29,-1.8%,2.33,2.29,2.29,2.29,2.21,2.25,2.21,2.46,11.3%
01214,LECHUGA CRIOLLA SEDA,GMML,5.76,5.74,-0.4%,5.83,5.75,5.75,5.83,5.75,5.75,5.67,5.67,0.0%
01214,LECHUGA ROMANA HIDROPONICA /B/R/O,GMML,1.35,1.36,0.8%,1.33,1.21,1.21,1.21,1.33,1.46,1.54,1.58,2.6%
01213,BROCOLI,GMML,3.52,2.52,-28.4%,2.88,2.63,2.63,2.50,2.38,2.38,2.50,2.63,5.2%
01212,COL CHINA/LONGAPA,GMML,6.24,7.19,15.3%,6.35,6.25,6.25,6.35,7.19,7.81,7.81,8.65,10.8%
01212,COL CORAZON (CRIOLLA/SERRANA),GMML,1.04,1.05,1.1%,1.02,1.04,1.04,1.04,1.05,1.05,1.06,1.06,0.0%
01213,COLIFLOR (CRIOLLA/SERRANA),GMML,1.03,1.00,-2.8%,1.00,0.96,0.96,0.96,1.00,1.04,1.04,1.04,0.0%
01215,ESPINACA (CRIOLLA/SERRANA),GMML,2.50,2.47,-1.4%,2.50,2.63,2.63,2.38,2.38,2.50,2.38,2.38,0.0%
01219,PEREJIL (CRIOLLO/SERRANO),GMML,2.66,2.46,-7.4%,2.25,2.13,2.13,2.20,2.63,2.75,2.75,2.63,-4.4%
01212,PACCHOY,GMML,9.29,9.17,-1.3%,9.38,9.38,9.38,9.17,8.96,8.96,9.17,9.17,0.0%
01216,ALCACHOFA SERRANA/VALLE/QUEBRADA/HELADA,GMML,8.09,7.82,-3.3%,8.00,8.00,8.00,7.94,7.94,7.81,7.56,7.50,-0.8%
01212,HOLANTAU/HORGANICA,GMML,8.68,8.57,-1.2%,8.63,8.63,8.63,8.50,8.50,8.50,8.63,8.63,0.0%
0122,Melones,,,,,,,,,,,,,
01221,SANDIA VAR.,MMF2,1.16,1.18,1.2%,1.18,1.18,1.18,1.18,1.18,1.18,1.18,1.15,-2.5%
01229,MELON COQUITO,MMF2,2.03,1.85,-8.5%,1.88,1.88,1.88,1.85,1.83,1.83,1.85,1.85,0.0%
0123,Hortalizas de fruto,,,,,,,,,,,,,
